Mod:Item:MetaData, Localized Name, Unlocalized Name, Is Block?, Class Name
minecraft:mossy_cobblestone, Moss Stone, tile.stoneMoss, true, net.minecraft.item.ItemBlock
minecraft:obsidian, Obsidian, tile.obsidian, true, net.minecraft.item.ItemBlock
minecraft:torch, Torch, tile.torch, true, net.minecraft.item.ItemBlock
minecraft:mob_spawner, Monster Spawner, tile.mobSpawner, true, net.minecraft.item.ItemBlock
minecraft:oak_stairs, Oak Wood Stairs, tile.stairsWood, true, net.minecraft.item.ItemBlock
minecraft:chest, Chest, tile.chest, true, net.minecraft.item.ItemBlock
minecraft:diamond_ore, Diamond Ore, tile.oreDiamond, true, net.minecraft.item.ItemBlock
minecraft:diamond_block, Block of Diamond, tile.blockDiamond, true, net.minecraft.item.ItemBlock
minecraft:crafting_table, Crafting Table, tile.workbench, true, net.minecraft.item.ItemBlock
minecraft:farmland, Farmland, tile.farmland, true, net.minecraft.item.ItemBlock
minecraft:furnace, Furnace, tile.furnace, true, net.minecraft.item.ItemBlock
minecraft:ladder, Ladder, tile.ladder, true, net.minecraft.item.ItemBlock
minecraft:rail, Rail, tile.rail, true, net.minecraft.item.ItemBlock
minecraft:stone_stairs, Cobblestone Stairs, tile.stairsStone, true, net.minecraft.item.ItemBlock
minecraft:lever, Lever, tile.lever, true, net.minecraft.item.ItemBlock
minecraft:stone_pressure_plate, Stone Pressure Plate, tile.pressurePlateStone, true, net.minecraft.item.ItemBlock
minecraft:wooden_pressure_plate, Wooden Pressure Plate, tile.pressurePlateWood, true, net.minecraft.item.ItemBlock
minecraft:redstone_ore, Redstone Ore, tile.oreRedstone, true, net.minecraft.item.ItemBlock
minecraft:redstone_torch, Redstone Torch, tile.notGate, true, net.minecraft.item.ItemBlock
minecraft:stone_button, Button, tile.button, true, net.minecraft.item.ItemBlock
minecraft:snow_layer:0, Snow, tile.snow, true, net.minecraft.item.ItemStack
minecraft:ice, Ice, tile.ice, true, net.minecraft.item.ItemBlock
minecraft:snow, Snow, tile.snow, true, net.minecraft.item.ItemBlock
minecraft:cactus, Cactus, tile.cactus, true, net.minecraft.item.ItemBlock
minecraft:clay, Clay, tile.clay, true, net.minecraft.item.ItemBlock
minecraft:jukebox, Jukebox, tile.jukebox, true, net.minecraft.item.ItemBlock
minecraft:fence, Oak Fence, tile.fence, true, net.minecraft.item.ItemBlock
minecraft:pumpkin, Pumpkin, tile.pumpkin, true, net.minecraft.item.ItemBlock
minecraft:netherrack, Netherrack, tile.hellrock, true, net.minecraft.item.ItemBlock
minecraft:soul_sand, Soul Sand, tile.hellsand, true, net.minecraft.item.ItemBlock
minecraft:glowstone, Glowstone, tile.lightgem, true, net.minecraft.item.ItemBlock
minecraft:lit_pumpkin, Jack o'Lantern, tile.litpumpkin, true, net.minecraft.item.ItemBlock
minecraft:stained_glass:0, White Stained Glass, tile.stainedGlass.white, true, net.minecraft.item.ItemStack
minecraft:stained_glass:1, Orange Stained Glass, tile.stainedGlass.orange, true, net.minecraft.item.ItemStack
minecraft:stained_glass:2, Magenta Stained Glass, tile.stainedGlass.magenta, true, net.minecraft.item.ItemStack
minecraft:stained_glass:3, Light Blue Stained Glass, tile.stainedGlass.lightBlue, true, net.minecraft.item.ItemStack
minecraft:stained_glass:4, Yellow Stained Glass, tile.stainedGlass.yellow, true, net.minecraft.item.ItemStack
minecraft:stained_glass:5, Lime Stained Glass, tile.stainedGlass.lime, true, net.minecraft.item.ItemStack
minecraft:stained_glass:6, Pink Stained Glass, tile.stainedGlass.pink, true, net.minecraft.item.ItemStack
minecraft:stained_glass:7, Gray Stained Glass, tile.stainedGlass.gray, true, net.minecraft.item.ItemStack
minecraft:stained_glass:8, Light Gray Stained Glass, tile.stainedGlass.silver, true, net.minecraft.item.ItemStack
minecraft:stained_glass:9, Cyan Stained Glass, tile.stainedGlass.cyan, true, net.minecraft.item.ItemStack
minecraft:stained_glass:10, Purple Stained Glass, tile.stainedGlass.purple, true, net.minecraft.item.ItemStack
minecraft:stained_glass:11, Blue Stained Glass, tile.stainedGlass.blue, true, net.minecraft.item.ItemStack
minecraft:stained_glass:12, Brown Stained Glass, tile.stainedGlass.brown, true, net.minecraft.item.ItemStack
minecraft:stained_glass:13, Green Stained Glass, tile.stainedGlass.green, true, net.minecraft.item.ItemStack
minecraft:stained_glass:14, Red Stained Glass, tile.stainedGlass.red, true, net.minecraft.item.ItemStack
minecraft:stained_glass:15, Black Stained Glass, tile.stainedGlass.black, true, net.minecraft.item.ItemStack
minecraft:trapdoor, Wooden Trapdoor, tile.trapdoor, true, net.minecraft.item.ItemBlock
minecraft:monster_egg:0, Stone Monster Egg, tile.monsterStoneEgg.stone, true, net.minecraft.item.ItemStack
minecraft:monster_egg:1, Cobblestone Monster Egg, tile.monsterStoneEgg.cobble, true, net.minecraft.item.ItemStack
minecraft:monster_egg:2, Stone Brick Monster Egg, tile.monsterStoneEgg.brick, true, net.minecraft.item.ItemStack
minecraft:monster_egg:3, Mossy Stone Brick Monster Egg, tile.monsterStoneEgg.mossybrick, true, net.minecraft.item.ItemStack
minecraft:monster_egg:4, Cracked Stone Brick Monster Egg, tile.monsterStoneEgg.crackedbrick, true, net.minecraft.item.ItemStack
minecraft:monster_egg:5, Chiseled Stone Brick Monster Egg, tile.monsterStoneEgg.chiseledbrick, true, net.minecraft.item.ItemStack
minecraft:stonebrick:0, Stone Bricks, tile.stonebricksmooth.default, true, net.minecraft.item.ItemStack
minecraft:stonebrick:1, Mossy Stone Bricks, tile.stonebricksmooth.mossy, true, net.minecraft.item.ItemStack
minecraft:stonebrick:2, Cracked Stone Bricks, tile.stonebricksmooth.cracked, true, net.minecraft.item.ItemStack
minecraft:stonebrick:3, Chiseled Stone Bricks, tile.stonebricksmooth.chiseled, true, net.minecraft.item.ItemStack
minecraft:brown_mushroom_block, Mushroom, tile.mushroom, true, net.minecraft.item.ItemBlock
minecraft:red_mushroom_block, Mushroom, tile.mushroom, true, net.minecraft.item.ItemBlock
minecraft:iron_bars, Iron Bars, tile.fenceIron, true, net.minecraft.item.ItemBlock
minecraft:glass_pane, Glass Pane, tile.thinGlass, true, net.minecraft.item.ItemBlock
minecraft:melon_block, Melon, tile.melon, true, net.minecraft.item.ItemBlock
minecraft:vine, Vines, tile.vine, true, net.minecraft.item.ItemColored
minecraft:fence_gate, Oak Fence Gate, tile.fenceGate, true, net.minecraft.item.ItemBlock
minecraft:brick_stairs, Brick Stairs, tile.stairsBrick, true, net.minecraft.item.ItemBlock
minecraft:stone_brick_stairs, Stone Brick Stairs, tile.stairsStoneBrickSmooth, true, net.minecraft.item.ItemBlock
minecraft:mycelium, Mycelium, tile.mycel, true, net.minecraft.item.ItemBlock
minecraft:waterlily, Lily Pad, tile.waterlily, true, net.minecraft.item.ItemLilyPad
minecraft:nether_brick, Nether Brick, tile.netherBrick, true, net.minecraft.item.ItemBlock
minecraft:nether_brick_fence, Nether Brick Fence, tile.netherFence, true, net.minecraft.item.ItemBlock
minecraft:nether_brick_stairs, Nether Brick Stairs, tile.stairsNetherBrick, true, net.minecraft.item.ItemBlock
minecraft:enchanting_table, Enchantment Table, tile.enchantmentTable, true, net.minecraft.item.ItemBlock
minecraft:end_portal_frame, End Portal, tile.endPortalFrame, true, net.minecraft.item.ItemBlock
minecraft:end_stone, End Stone, tile.whiteStone, true, net.minecraft.item.ItemBlock
minecraft:dragon_egg, Dragon Egg, tile.dragonEgg, true, net.minecraft.item.ItemBlock
minecraft:redstone_lamp, Redstone Lamp, tile.redstoneLight, true, net.minecraft.item.ItemBlock
minecraft:wooden_slab:0, Oak Wood Slab, tile.woodSlab.oak, true, net.minecraft.item.ItemStack
minecraft:wooden_slab:1, Spruce Wood Slab, tile.woodSlab.spruce, true, net.minecraft.item.ItemStack
minecraft:wooden_slab:2, Birch Wood Slab, tile.woodSlab.birch, true, net.minecraft.item.ItemStack
minecraft:wooden_slab:3, Jungle Wood Slab, tile.woodSlab.jungle, true, net.minecraft.item.ItemStack
minecraft:wooden_slab:4, Acacia Wood Slab, tile.woodSlab.acacia, true, net.minecraft.item.ItemStack
minecraft:wooden_slab:5, Dark Oak Wood Slab, tile.woodSlab.big_oak, true, net.minecraft.item.ItemStack
minecraft:sandstone_stairs, Sandstone Stairs, tile.stairsSandStone, true, net.minecraft.item.ItemBlock
minecraft:emerald_ore, Emerald Ore, tile.oreEmerald, true, net.minecraft.item.ItemBlock
minecraft:ender_chest, Ender Chest, tile.enderChest, true, net.minecraft.item.ItemBlock
minecraft:tripwire_hook, Tripwire Hook, tile.tripWireSource, true, net.minecraft.item.ItemBlock
minecraft:emerald_block, Block of Emerald, tile.blockEmerald, true, net.minecraft.item.ItemBlock
minecraft:spruce_stairs, Spruce Wood Stairs, tile.stairsWoodSpruce, true, net.minecraft.item.ItemBlock
minecraft:birch_stairs, Birch Wood Stairs, tile.stairsWoodBirch, true, net.minecraft.item.ItemBlock
minecraft:jungle_stairs, Jungle Wood Stairs, tile.stairsWoodJungle, true, net.minecraft.item.ItemBlock
minecraft:command_block, Command Block, tile.commandBlock, true, net.minecraft.item.ItemBlock
minecraft:beacon, Beacon, tile.beacon, true, net.minecraft.item.ItemBlock
minecraft:cobblestone_wall:0, Cobblestone Wall, tile.cobbleWall.normal, true, net.minecraft.item.ItemStack
minecraft:cobblestone_wall:1, Mossy Cobblestone Wall, tile.cobbleWall.mossy, true, net.minecraft.item.ItemStack
minecraft:wooden_button, Button, tile.button, true, net.minecraft.item.ItemBlock
minecraft:anvil:0, Anvil, tile.anvil.intact, true, net.minecraft.item.ItemStack
minecraft:anvil:1, Slightly Damaged Anvil, tile.anvil.slightlyDamaged, true, net.minecraft.item.ItemStack
minecraft:anvil:2, Very Damaged Anvil, tile.anvil.veryDamaged, true, net.minecraft.item.ItemStack
minecraft:trapped_chest, Trapped Chest, tile.chestTrap, true, net.minecraft.item.ItemBlock
minecraft:light_weighted_pressure_plate, Weighted Pressure Plate (Light), tile.weightedPlate_light, true, net.minecraft.item.ItemBlock
minecraft:heavy_weighted_pressure_plate, Weighted Pressure Plate (Heavy), tile.weightedPlate_heavy, true, net.minecraft.item.ItemBlock
minecraft:daylight_detector, Daylight Sensor, tile.daylightDetector, true, net.minecraft.item.ItemBlock
minecraft:redstone_block, Block of Redstone, tile.blockRedstone, true, net.minecraft.item.ItemBlock
minecraft:quartz_ore, Nether Quartz Ore, tile.netherquartz, true, net.minecraft.item.ItemBlock
minecraft:hopper, Hopper, tile.hopper, true, net.minecraft.item.ItemBlock
minecraft:quartz_block:0, Block of Quartz, tile.quartzBlock.default, true, net.minecraft.item.ItemStack
minecraft:quartz_block:1, Chiseled Quartz Block, tile.quartzBlock.chiseled, true, net.minecraft.item.ItemStack
minecraft:quartz_block:2, Pillar Quartz Block, tile.quartzBlock.lines, true, net.minecraft.item.ItemStack
minecraft:quartz_stairs, Quartz Stairs, tile.stairsQuartz, true, net.minecraft.item.ItemBlock
minecraft:activator_rail, Activator Rail, tile.activatorRail, true, net.minecraft.item.ItemBlock
minecraft:dropper, Dropper, tile.dropper, true, net.minecraft.item.ItemBlock
minecraft:stained_hardened_clay:0, White Hardened Clay, tile.clayHardenedStained.white, true, net.minecraft.item.ItemStack
minecraft:stained_hardened_clay:1, Orange Hardened Clay, tile.clayHardenedStained.orange, true, net.minecraft.item.ItemStack
minecraft:stained_hardened_clay:2, Magenta Hardened Clay, tile.clayHardenedStained.magenta, true, net.minecraft.item.ItemStack
minecraft:stained_hardened_clay:3, Light Blue Hardened Clay, tile.clayHardenedStained.lightBlue, true, net.minecraft.item.ItemStack
minecraft:stained_hardened_clay:4, Yellow Hardened Clay, tile.clayHardenedStained.yellow, true, net.minecraft.item.ItemStack
minecraft:stained_hardened_clay:5, Lime Hardened Clay, tile.clayHardenedStained.lime, true, net.minecraft.item.ItemStack
minecraft:stained_hardened_clay:6, Pink Hardened Clay, tile.clayHardenedStained.pink, true, net.minecraft.item.ItemStack
minecraft:stained_hardened_clay:7, Gray Hardened Clay, tile.clayHardenedStained.gray, true, net.minecraft.item.ItemStack
minecraft:stained_hardened_clay:8, Light Gray Hardened Clay, tile.clayHardenedStained.silver, true, net.minecraft.item.ItemStack
minecraft:stained_hardened_clay:9, Cyan Hardened Clay, tile.clayHardenedStained.cyan, true, net.minecraft.item.ItemStack
minecraft:stained_hardened_clay:10, Purple Hardened Clay, tile.clayHardenedStained.purple, true, net.minecraft.item.ItemStack
minecraft:stained_hardened_clay:11, Blue Hardened Clay, tile.clayHardenedStained.blue, true, net.minecraft.item.ItemStack
minecraft:stained_hardened_clay:12, Brown Hardened Clay, tile.clayHardenedStained.brown, true, net.minecraft.item.ItemStack
minecraft:stained_hardened_clay:13, Green Hardened Clay, tile.clayHardenedStained.green, true, net.minecraft.item.ItemStack
minecraft:stained_hardened_clay:14, Red Hardened Clay, tile.clayHardenedStained.red, true, net.minecraft.item.ItemStack
minecraft:stained_hardened_clay:15, Black Hardened Clay, tile.clayHardenedStained.black, true, net.minecraft.item.ItemStack
minecraft:stained_glass_pane:0, White Stained Glass Pane, tile.thinStainedGlass.white, true, net.minecraft.item.ItemStack
minecraft:stained_glass_pane:1, Orange Stained Glass Pane, tile.thinStainedGlass.orange, true, net.minecraft.item.ItemStack
minecraft:stained_glass_pane:2, Magenta Stained Glass Pane, tile.thinStainedGlass.magenta, true, net.minecraft.item.ItemStack
minecraft:stained_glass_pane:3, Light Blue Stained Glass Pane, tile.thinStainedGlass.lightBlue, true, net.minecraft.item.ItemStack
minecraft:stained_glass_pane:4, Yellow Stained Glass Pane, tile.thinStainedGlass.yellow, true, net.minecraft.item.ItemStack
minecraft:stained_glass_pane:5, Lime Stained Glass Pane, tile.thinStainedGlass.lime, true, net.minecraft.item.ItemStack
minecraft:stained_glass_pane:6, Pink Stained Glass Pane, tile.thinStainedGlass.pink, true, net.minecraft.item.ItemStack
minecraft:stained_glass_pane:7, Gray Stained Glass Pane, tile.thinStainedGlass.gray, true, net.minecraft.item.ItemStack
minecraft:stained_glass_pane:8, Light Gray Stained Glass Pane, tile.thinStainedGlass.silver, true, net.minecraft.item.ItemStack
minecraft:stained_glass_pane:9, Cyan Stained Glass Pane, tile.thinStainedGlass.cyan, true, net.minecraft.item.ItemStack
minecraft:stained_glass_pane:10, Purple Stained Glass Pane, tile.thinStainedGlass.purple, true, net.minecraft.item.ItemStack
minecraft:stained_glass_pane:11, Blue Stained Glass Pane, tile.thinStainedGlass.blue, true, net.minecraft.item.ItemStack
minecraft:stained_glass_pane:12, Brown Stained Glass Pane, tile.thinStainedGlass.brown, true, net.minecraft.item.ItemStack
minecraft:stained_glass_pane:13, Green Stained Glass Pane, tile.thinStainedGlass.green, true, net.minecraft.item.ItemStack
minecraft:stained_glass_pane:14, Red Stained Glass Pane, tile.thinStainedGlass.red, true, net.minecraft.item.ItemStack
minecraft:stained_glass_pane:15, Black Stained Glass Pane, tile.thinStainedGlass.black, true, net.minecraft.item.ItemStack
minecraft:leaves2:0, Acacia Leaves, tile.leaves.acacia, true, net.minecraft.item.ItemStack
minecraft:leaves2:1, Dark Oak Leaves, tile.leaves.big_oak, true, net.minecraft.item.ItemStack
minecraft:log2:0, Acacia Wood, tile.log.acacia, true, net.minecraft.item.ItemStack
minecraft:log2:1, Dark Oak Wood, tile.log.big_oak, true, net.minecraft.item.ItemStack
minecraft:acacia_stairs, Acacia Wood Stairs, tile.stairsWoodAcacia, true, net.minecraft.item.ItemBlock
minecraft:dark_oak_stairs, Dark Oak Wood Stairs, tile.stairsWoodDarkOak, true, net.minecraft.item.ItemBlock
minecraft:slime, Slime Block, tile.slime, true, net.minecraft.item.ItemBlock
minecraft:barrier, Barrier, tile.barrier, true, net.minecraft.item.ItemBlock
minecraft:iron_trapdoor, Iron Trapdoor, tile.iron_trapdoor, true, net.minecraft.item.ItemBlock
minecraft:prismarine:0, Prismarine, tile.prismarine.rough, true, net.minecraft.item.ItemStack
minecraft:prismarine:1, Prismarine Bricks, tile.prismarine.bricks, true, net.minecraft.item.ItemStack
minecraft:prismarine:2, Dark Prismarine, tile.prismarine.dark, true, net.minecraft.item.ItemStack
minecraft:sea_lantern, Sea Lantern, tile.seaLantern, true, net.minecraft.item.ItemBlock
minecraft:hay_block, Hay Bale, tile.hayBlock, true, net.minecraft.item.ItemBlock
minecraft:carpet:0, Carpet, tile.woolCarpet.white, true, net.minecraft.item.ItemStack
minecraft:carpet:1, Orange Carpet, tile.woolCarpet.orange, true, net.minecraft.item.ItemStack
minecraft:carpet:2, Magenta Carpet, tile.woolCarpet.magenta, true, net.minecraft.item.ItemStack
minecraft:carpet:3, Light Blue Carpet, tile.woolCarpet.lightBlue, true, net.minecraft.item.ItemStack
minecraft:carpet:4, Yellow Carpet, tile.woolCarpet.yellow, true, net.minecraft.item.ItemStack
minecraft:carpet:5, Lime Carpet, tile.woolCarpet.lime, true, net.minecraft.item.ItemStack
minecraft:carpet:6, Pink Carpet, tile.woolCarpet.pink, true, net.minecraft.item.ItemStack
minecraft:carpet:7, Gray Carpet, tile.woolCarpet.gray, true, net.minecraft.item.ItemStack
minecraft:carpet:8, Light Gray Carpet, tile.woolCarpet.silver, true, net.minecraft.item.ItemStack
minecraft:carpet:9, Cyan Carpet, tile.woolCarpet.cyan, true, net.minecraft.item.ItemStack
minecraft:carpet:10, Purple Carpet, tile.woolCarpet.purple, true, net.minecraft.item.ItemStack
minecraft:carpet:11, Blue Carpet, tile.woolCarpet.blue, true, net.minecraft.item.ItemStack
minecraft:carpet:12, Brown Carpet, tile.woolCarpet.brown, true, net.minecraft.item.ItemStack
minecraft:carpet:13, Green Carpet, tile.woolCarpet.green, true, net.minecraft.item.ItemStack
minecraft:carpet:14, Red Carpet, tile.woolCarpet.red, true, net.minecraft.item.ItemStack
minecraft:carpet:15, Black Carpet, tile.woolCarpet.black, true, net.minecraft.item.ItemStack
minecraft:hardened_clay, Hardened Clay, tile.clayHardened, true, net.minecraft.item.ItemBlock
minecraft:coal_block, Block of Coal, tile.blockCoal, true, net.minecraft.item.ItemBlock
minecraft:packed_ice, Packed Ice, tile.icePacked, true, net.minecraft.item.ItemBlock
minecraft:double_plant:0, Sunflower, tile.doublePlant.sunflower, true, net.minecraft.item.ItemStack
minecraft:double_plant:1, Lilac, tile.doublePlant.syringa, true, net.minecraft.item.ItemStack
minecraft:double_plant:2, Double Tallgrass, tile.doublePlant.grass, true, net.minecraft.item.ItemStack
minecraft:double_plant:3, Large Fern, tile.doublePlant.fern, true, net.minecraft.item.ItemStack
minecraft:double_plant:4, Rose Bush, tile.doublePlant.rose, true, net.minecraft.item.ItemStack
minecraft:double_plant:5, Peony, tile.doublePlant.paeonia, true, net.minecraft.item.ItemStack
minecraft:red_sandstone:0, Red Sandstone, tile.redSandStone.default, true, net.minecraft.item.ItemStack
